id	x	y	cluster	weight<Links>	weight<Total link strength>
A66K	0.8895	0.0498	5	9	12
A66L	1.3596	0.2015	5	4	4
A66N	0.3335	0.4165	4	2	3
A67B	-0.093	0.0432	4	17	37
A67C	-0.3521	-0.4964	1	13	17
A67D	0.265	-0.2554	4	17	25
A67F	0.4148	-0.0358	4	7	9
A67G	-0.1464	-0.3189	4	9	11
A67H	-0.9082	-0.691	1	1	1
A67J	0.2036	-0.3157	4	9	11
A67K	1.3457	0.1234	5	20	71
A67L	0.3986	-0.5438	4	8	8
A67M	0.3179	0.0842	4	2	4
A67N	0.4023	0.4131	4	1	1
A67P	1.4773	0.2212	5	3	3
A68B	0.0718	0.0504	4	2	3
A68F	-0.2892	0.0583	4	1	1
A68G	-0.6798	-0.3613	1	3	5
A68K	1.4506	0.2042	5	1	1
A68R	-0.2894	0.0579	4	1	1
A69B	-0.4191	0.2716	4	2	2
A69F	0.4198	0.3373	2	7	7
A69H	-0.5162	0.422	2	3	4
A69K	1.4978	0.2496	5	3	4
A69N	-0.2655	-0.4117	4	1	1
A71F	0.2876	-0.0567	4	5	7
A71K	1.3593	0.1999	5	13	42
A71L	1.1086	-0.161	5	4	4
A71N	0.5032	0.1172	4	2	2
A72B	0.3665	-0.6558	6	2	2
A73F	-0.4344	0.6348	2	1	1
A73H	-0.6487	-0.1083	1	4	4
A74B	-0.3989	-0.5698	4	1	1
A74C	-0.8226	-0.4567	4	2	2
A74K	0.2061	-1.2047	4	1	1
A74L	0.0652	-0.9808	4	1	1
A75K	0.2064	-1.2045	4	1	1
A77B	-0.5154	-0.09	4	2	2
A77K	0.2053	-1.2045	4	1	1
A79C	0.7415	-0.3243	4	2	2
A81B	0.1951	0.4209	4	1	1
A81F	0.6066	-0.2042	4	1	2
A81H	1.5267	0.3257	5	3	3
A81K	1.358	0.2106	5	11	25
A81P	1.4446	0.2369	5	5	5
A83F	-0.373	0.696	2	3	3
A84F	0.5356	-0.3383	4	2	2
A87B	-0.5432	-0.6838	4	2	2
A87K	0.2051	-1.205	4	1	1
A91K	1.321	0.2662	5	8	14
A91N	1.4289	0.219	5	1	1
A91P	1.4795	0.2321	5	7	19
A93B	0.4758	-0.7379	4	1	1
A95C	-0.3314	-0.8101	4	1	2
A95G	-0.3313	-0.8105	4	1	1
A96B	0.2542	-0.893	4	1	1
A97B	-0.3367	0.8414	2	1	1
A97C	-0.4539	-0.673	4	2	4
A97F	-0.1078	-0.6696	4	5	7
A97H	-0.6408	-0.4528	1	2	2
A97K	0.049	-0.931	4	2	2
A97L	-0.834	-0.3353	1	6	6
A99Z	-0.0154	0.2806	2	69	134
B00C	1.4006	-0.1856	5	1	1
B00J	-1.0916	-0.4189	1	2	2
B00L	1.1314	0.2121	5	3	3
B00R	0.7431	-0.0911	5	1	1
B00S	-0.7949	-0.5129	1	4	4
B00T	-0.9461	0.0358	1	10	10
B00X	0.5657	-0.1808	3	34	105
B01A	0.6538	-0.2526	3	3	5
B01B	0.2842	-0.0923	3	369	13916
B01C	0.3927	0.0771	3	66	99
B01D	0.3182	-0.1219	3	864	3578414
B01E	0.0829	-0.1738	3	5	5
B01F	0.4244	-0.1632	3	691	907664
B01G	0.7017	0.0373	3	45	97
B01H	0.1191	-0.154	3	44	52
B01I	0.8383	0.3315	5	12	21
B01J	0.6077	0.049	3	851	3654674
B01K	0.5188	0.1826	3	347	14389
B01L	0.4156	0.2254	5	604	437042
B01M	-0.1708	0.1368	3	13	14
B01N	0.6302	0.2008	5	42	73
B01O	0.6714	-0.0286	3	14	21
B01P	0.3968	0.0024	3	29	45
B01Q	0.8076	0.1229	3	7	7
B01R	0.0368	0.5524	2	10	10
B01S	0.4169	0.2087	3	37	66
B01T	0.5386	0.3065	3	14	17
B01U	0.4995	0.1027	3	7	7
B01V	0.4266	0.2294	3	16	32
B01Y	1.0218	0.1962	5	3	3
B02B	0.4077	-0.2867	3	396	28865
B02C	0.4827	-0.3202	3	646	488735
B02D	0.1652	-0.2043	3	52	87
B02E	0.6547	-0.4499	3	1	1
B02F	0.321	-0.0234	3	68	127
B02G	0.3708	-0.263	3	25	32
B02H	0.4492	-0.1706	3	1	1
B02J	0.4623	0.1508	3	21	26
B02K	-0.4117	-0.1284	1	19	26
B02L	0.1469	0.0486	5	16	27
B02M	-1.2125	-0.2613	1	1	1
B02O	0.5905	-0.2386	3	4	4
B03B	0.5381	-0.1783	3	517	123589
B03C	0.3673	-0.1265	3	610	207082
B03D	0.5643	-0.0408	3	406	54811
B03E	-0.3635	1.0631	2	1	1
B03F	0.5278	0.4571	2	18	45
B03G	0.1942	0.3229	2	6	9
B03H	-1.035	-0.2895	1	7	11
B03J	1.4288	0.2192	5	1	1
B03L	0.5552	-0.2792	3	2	2
B04B	0.3846	-0.1036	3	554	88564
B04C	0.6565	-0.5936	3	492	71032
B04D	0.0173	-0.2301	3	35	54
B04E	0.8403	-0.7782	3	1	1
B04F	0.2769	-0.1994	3	21	39
B04G	-0.604	0.514	1	8	12
B04H	0.1184	-0.3907	3	27	39
B04J	0.3616	0.5789	2	7	7
B04K	0.7848	-0.2573	3	3	3
B04L	0.1103	0.9388	2	3	3
B04N	-0.3374	1.0028	2	1	1
B05A	0.4129	0.0318	3	4	5
B05B	0.0527	-0.2105	4	750	796507
B05C	0.1795	-0.2616	4	670	556874
B05D	0.2417	0.0323	3	758	1110761
B05E	0.0868	-0.3	4	1	1
B05F	-0.4399	0.0398	1	14	17
B05G	0.0398	-0.0915	4	33	47
B05H	0.1694	0.2117	3	16	19
B05I	0.1936	-0.0681	3	2	2
B05J	0.22	-0.0866	3	11	11
B05K	-0.0402	-0.0873	4	10	10
