id,x,y,cluster,weight<Links>,weight<Total link strength>,label,score<AI2015>,Weight<AICount2015>,score<AI2016>,Weight<AICount2016>,score<AI2017>,Weight<AICount2017>,score<AI2018>,Weight<AICount2018>,score<AI2019>,Weight<AICount2019>,score<AI2020>,Weight<AICount2020>,score<AI2021>,Weight<AICount2021>,score<AI2022>,Weight<AICount2022>,score<AI2023>,Weight<AICount2023>,score<AI2024>,Weight<AICount2024>
A41B,0.1372,-0.8524,2,424,109547,SHIRTS; UNDERWEAR; BABY LINEN; HANDKERCHIEFS,0,0,1,1,0,0,5,5,1,1,0,0,1,1,2,2,1,1,1,1
A41C,0.0949,-0.9514,2,285,31323,CORSETS; BRASSIÈRES,0,0,3,3,0,0,1,1,0,0,3,3,2,2,1,1,1,1,0,0
A41D,0.0103,-0.6379,2,572,361758,OUTERWEAR; PROTECTIVE GARMENTS; ACCESSORIES,4,4,13,13,22,22,31,31,41,41,79,79,36,36,39,39,23,23,7,7
A41F,-0.1102,-0.8503,2,369,41318,GARMENT FASTENINGS; SUSPENDERS,1,1,0,0,1,1,4,4,2,2,2,2,1,1,1,1,1,1,0,0
A41G,0.1629,-0.656,2,385,22792,ARTIFICIAL FLOWERS; WIGS; MASKS; FEATHERS,0,0,2,2,12,12,0,0,2,2,0,0,4,4,0,0,3,3,1,1
A41H,0.0371,-0.7884,2,398,64578,APPLIANCES OR METHODS FOR MAKING CLOTHES. e.g. FOR DRESS-MAKING OR FOR TAILORING. NOT OTHERWISE PROVIDED FOR,10,10,7,7,11,11,19,19,22,22,30,30,13,13,19,19,8,8,8,8
A42B,-0.3107,-0.6224,2,461,85941,HATS; HEAD COVERINGS  (headbands A41D0020000000; head-scarves A41D0023000000),12,12,16,16,25,25,22,22,21,21,40,40,27,27,15,15,29,29,10,10
A42C,-0.2369,-0.8554,2,248,12574,MANUFACTURING OR TRIMMING HEAD COVERINGS. e.g. HATS,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A43B,-0.0608,-0.6952,2,522,184224,CHARACTERISTIC FEATURES OF FOOTWEAR; PARTS OF FOOTWEAR,4,4,20,20,15,15,21,21,22,22,17,17,28,28,16,16,23,23,11,11
A43C,-0.1399,-0.8768,2,338,40956,FASTENINGS OR ATTACHMENTS FOR FOOTWEAR; LACES IN GENERAL,2,2,1,1,1,1,5,5,9,9,0,0,4,4,2,2,2,2,0,0
A43D,0.0603,-0.7046,2,426,50336,MACHINES. TOOLS. EQUIPMENT OR METHODS FOR MANUFACTURING OR REPAIRING FOOTWEAR (sewing D05B),18,18,28,28,35,35,38,38,79,79,44,44,30,30,42,42,22,22,21,21
A44B,-0.1578,-0.5703,2,541,147899,BUTTONS. PINS. BUCKLES. SLIDE FASTENERS. OR THE LIKE (fastenings specially adapted for footwear A43C),3,3,5,5,6,6,1,1,1,1,4,4,4,4,3,3,2,2,1,1
A44C,-0.3997,-0.4343,1,509,91422,PERSONAL ADORNMENTS. e.g. JEWELLERY; COINS,14,14,17,17,17,17,24,24,26,26,26,26,23,23,10,10,17,17,9,9
A45B,-0.4718,-0.2645,6,442,35414,WALKING STICKS (walking aids. e.g. sticks. for blind persons A61H0003060000); UMBRELLAS; LADIES' OR LIKE FANS (cane or umbrella stands or holders A47G0025120000),4,4,8,8,10,10,15,15,13,13,16,16,17,17,12,12,7,7,3,3
A45C,-0.3939,-0.4076,6,547,206025,PURSES; LUGGAGE; HAND CARRIED BAGS,12,12,29,29,50,50,60,60,47,47,50,50,42,42,17,17,18,18,4,4
