,id,x,y,cluster,weight<Links>,weight<Total link strength>,label
427,A62B,-0.2038,-0.2771,1,623,210624,DEVICES， APPARATUS OR METHODS FOR LIFE-SAVING (valves specially adapted for medical use A61M0039000000;composition of chemical substances used in respirators， gas-masks， breathing apparatus or the like A62D;rescuing from mountains or trees A63B0027000000， A63B0029000000;life-saving devices， apparatus or methods specially adapted for use in water B63C0009000000;divers' equipment B63C0011000000;specially adapted for use with aircraft， e.g. parachutes or ejector seats， B64D;rescue devices peculiar to mining E21F0011000000)
428,A62C,-0.4104,-0.1885,1,638,231490,FIRE-FIGHTING (fire-extinguishing compositions， use of chemical substances in extinguishing fires A62D0001000000;spraying， applying liquids or other fluent materials to surfaces in general B05;fire-fighting aircraft B64D0001160000;alarm arrangements G08B， e.g. fire alarms actuated by smoke or gases G08B0017100000)
429,A62D,0.4622,-0.0164,3,526,136302,CHEMICAL MEANS FOR EXTINGUISHING FIRES; PROCESSES FOR MAKING HARMFUL CHEMICAL SUBSTANCES HARMLESS， OR LESS HARMFUL， BY EFFECTING A CHEMICAL CHANGE; COMPOSITION OF MATERIALS FOR COVERINGS OR CLOTHING FOR PROTECTING AGAINST HARMFUL CHEMICAL AGENTS; COMPOSITION OF MATERIALS FOR TRANSPARENT PARTS OF GAS-MASKS， RESPIRATORS， BREATHING BAGS OR HELMETS; COMPOSITION OF CHEMICAL MATERIALS FOR USE IN BREATHING APPARATUS
441,A63B,-0.2135,0.0275,4,672,360985,APPARATUS FOR PHYSICAL TRAINING， GYMNASTICS， SWIMMING， CLIMBING， OR FENCING; BALL GAMES; TRAINING EQUIPMENT (apparatus for passive exercising， massage A61H)
442,A63C,-0.2607,-0.1337,4,526,69509,SKATES; SKIS; ROLLER SKATES; DESIGN OR LAYOUT OF COURTS， RINKS OR THE LIKE (water skis B63B0032000000， B63B0034000000)
443,A63D,-0.2843,-0.0154,4,336,11579,BOWLING GAMES， e.g. SKITTLES， BOCCE OR BOWLS; INSTALLATIONS THEREFOR; BAGATELLE OR SIMILAR GAMES; BILLIARDS (balls A63B0037000000)
445,A63F,-0.3256,0.4644,2,604,339132,CARD， BOARD OR ROULETTE GAMES; INDOOR GAMES USING SMALL MOVING PLAYING BODIES; VIDEO GAMES; GAMES NOT OTHERWISE PROVIDED FOR
446,A63G,-0.5064,0.0465,4,425,39833,MERRY-GO-ROUNDS; SWINGS; ROCKING-HORSES (swings or rocking horses as nursery furniture A47D0013100000); CHUTES; SWITCHBACKS; SIMILAR DEVICES FOR PUBLIC AMUSEMENT
447,A63H,-0.3407,0.2125,2,643,158889,TOYS， e.g. TOPS， DOLLS， HOOPS OR BUILDING BLOCKS
448,A63J,-0.4057,0.2088,2,388,24696,DEVICES FOR THEATRES， CIRCUSES， OR THE LIKE; CONJURING APPLIANCES OR THE LIKE
449,A63K,-0.27,0.0454,4,232,4671,RACING; RIDING SPORTS; EQUIPMENT OR ACCESSORIES THEREFOR (stop watches G04F0007060000;timing G07C0001220000;indicating arrangements for variable information by selection or combination of individual elements G09F0009000000)
545,A99Z,-0.0154,0.2806,2,69,134,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION
554,B01B,0.2842,-0.0923,3,369,13916,BOILING; BOILING APPARATUS
556,B01D,0.3182,-0.1219,3,864,3578414,SEPARATION (separating solids from solids by wet methods B03B， B03D， by pneumatic jigs or tables B03B， by other dry methods B07;magnetic or electrostatic separation of solid materials from solid materials or fluids， separation by high-voltage electric fields B03C;centrifuges B04B; vortex apparatus B04C;presses per se for squeezing-out liquid from liquid-containing material B30B0009020000)
558,B01F,0.4244,-0.1632,3,691,907664,MIXING， e.g. DISSOLVING， EMULSIFYING OR DISPERSING  (mixing paints B44D0003060000)
562,B01J,0.6077,0.049,3,851,3654674,CHEMICAL OR PHYSICAL PROCESSES， e.g. CATALYSIS OR COLLOID CHEMISTRY; THEIR RELEVANT APPARATUS
564,B01L,0.4156,0.2254,5,604,437042,CHEMICAL OR PHYSICAL LABORATORY APPARATUS FOR GENERAL USE
576,B02B,0.4077,-0.2867,3,396,28865,PREPARING GRAIN FOR MILLING; REFINING GRANULAR FRUIT TO COMMERCIAL PRODUCTS BY WORKING THE SURFACE (making dough from cereals directly A21C;preservation or sterilisation of cereals A23B;cleaning fruit A23N;preparation of malt C12C)
577,B02C,0.4827,-0.3202,3,646,488735,CRUSHING， PULVERISING， OR DISINTEGRATING IN GENERAL; MILLING GRAIN (obtaining metallic powder by crushing， grinding or milling B22F0009040000)
588,B03B,0.5381,-0.1783,3,517,123589,SEPARATING SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS
589,B03C,0.3673,-0.1265,3,610,207082,MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS; SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS (separating isotopes B01D0059000000;combinations of magnetic or electrostatic separation with separation of solids by other means B03B， B07B)
590,B03D,0.5643,-0.0408,3,406,54811,FLOTATION; DIFFERENTIAL SEDIMENTATION (in combination with other separation of solids B03B;sink-float separation B03B0005280000)
597,B04B,0.3846,-0.1036,3,554,88564,CENTRIFUGES (high-speed drum mills B02C0019110000)
598,B04C,0.6565,-0.5936,3,492,71032,APPARATUS USING FREE VORTEX FLOW， e.g. CYCLONES (exhaust or silencing apparatus for machines or engines having means for removing solid constituents of exhaust， using inertial or centrifugal separators F01N0003037000;cyclonic type combustion apparatus F23)
609,B05B,0.0527,-0.2105,4,750,796507,SPRAYING APPARATUS; ATOMISING APPARATUS; NOZZLES (spray-mixers with nozzles B01F0025720000;processes for applying liquids or other fluent materials to surfaces by spraying B05D)
610,B05C,0.1795,-0.2616,4,670,556874,APPARATUS FOR APPLYING FLUENT MATERIALS TO SURFACES， IN GENERAL (spraying apparatus， atomising apparatus， nozzles B05B;plant for applying liquids or other fluent materials to objects by electrostatic spraying B05B0005080000)
611,B05D,0.2417,0.0323,3,758,1110761,PROCESSES FOR APPLYING FLUENT MATERIALS TO SURFACES， IN GENERAL (conveying articles or workpieces through baths of liquid B65G， e.g. B65G0049020000)
626,B06B,-0.129,0.2037,2,611,152742,GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS IN GENERAL (for particular physical or chemical processes， see the relevant subclasses， e.g. B07B0001400000， B22C0019060000， B23Q0017120000， B24B0031060000， E01C0019220000;measurement of mechanical vibrations， including the combination of generation and measurement， G01H;systems using reflection or reradiation of acoustic waves G01S0015000000;generating seismic energy for prospecting G01V0001020000;control of mechanical vibrations G05D0019000000;methods or devices for transmitting， conducting or directing sound， in general G10K0011000000;synthesis of acoustic waves G10K0015020000;piezoelectric， electrostrictive or magnetostrictive elements H10N0030000000， H10N0035000000;motors with vibrating magnet， armature or coil H02K0033000000;motors using piezoelectric effect， electrostriction or magnetostriction H02N0002000000;generation of electrical oscillations H03B;electromechanical resonators as resonant circuit elements H03H;loudspeakers， microphones， gramophone pick-ups or like acoustic electromechanical transducers H04R)
644,B07B,0.455,-0.2285,3,612,315641,SEPARATING SOLIDS FROM SOLIDS BY SIEVING， SCREENING， SIFTING OR BY USING GAS CURRENTS; SEPARATING BY OTHER DRY METHODS APPLICABLE TO BULK MATERIAL， e.g. LOOSE ARTICLES FIT TO BE HANDLED LIKE BULK MATERIAL (wet separating processes， sorting by processes using fluent material in the same way as liquid B03;combinations of dry separating apparatus with wet separating apparatus B03B;using liquids B03B， B03D;sorting by magnetic or electrostatic separation of solid materials from solid materials or fluids， separation by high voltage electric fields B03C;centrifuges or vortex apparatus for carrying out physical processes B04;hand sorting， postal sorting， sorting by switching or other devices actuated in response to detection or measurement of some feature of articles or samples of material B07C)
645,B07C,0.0527,0.0518,4,594,194024,POSTAL SORTING; SORTING INDIVIDUAL ARTICLES， OR BULK MATERIAL FIT TO BE SORTED PIECE-MEAL， e.g. BY PICKING (specially adapted for a specific purpose covered by another class， see the relevant place， e.g. A43D0033060000， B23Q0007120000)
655,B08B,0.022,-0.1508,3,722,1368356,CLEANING IN GENERAL; PREVENTION OF FOULING IN GENERAL 
666,B09B,0.3958,-0.0946,3,620,391246,DISPOSAL OF SOLID WASTE NOT OTHERWISE PROVIDED FOR
667,B09C,0.4108,-0.0203,3,409,115035,RECLAMATION OF CONTAMINATED SOIL (gatherers for removing stones or the like from the soil A01B0043000000;  sterilising soil by steam A01G0011000000;    removing undesirable matter， e.g. rubbish， from the land E01H0015000000)
745,B21B,-0.0324,-0.1389,3,579,299048,ROLLING OF METAL (auxiliary operations used in connection with metal-working operations covered in B21， seeB21C;bending by rolling B21D;manufacture of particular objects， e.g. screws， wheels， rings， barrels， balls， by rolling B21H;pressure welding by means of a rolling mill B23K0020040000)
746,B21C,0.0166,-0.2247,3,614,329553,MANUFACTURE OF METAL SHEETS， WIRE， RODS， TUBES， PROFILES OR LIKE SEMI-MANUFACTURED PRODUCTS OTHERWISE THAN BY ROLLING; AUXILIARY OPERATIONS USED IN CONNECTION WITH METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL
747,B21D,-0.1399,-0.3308,6,713,683039,WORKING OR PROCESSING OF SHEET METAL OR METAL TUBES， RODS OR PROFILES WITHOUT ESSENTIALLY REMOVING MATERIAL; PUNCHING METAL (working or processing of wire B21F)
749,B21F,-0.0802,-0.295,6,546,127119,WORKING OR PROCESSING OF METAL WIRE (rolling of metal B21B;by drawing， auxiliary operations used in connection with metal-working without essentially removing material B21C;bundling articles B65B0013000000)
750,B21G,-0.0292,-0.2876,6,247,10715,MAKING NEEDLES， PINS OR NAILS OF METAL
751,B21H,-0.2104,-0.2983,6,409,51820,MAKING PARTICULAR METAL OBJECTS BY ROLLING， e.g. SCREWS， WHEELS， RINGS， BARRELS， BALLS (essentially from sheet metal B21D)
753,B21J,-0.2027,-0.2576,6,543,176421,FORGING; HAMMERING; PRESSING METAL; RIVETING; FORGE FURNACES (rolling of metal B21B;making particular products by forging or pressing B21K;cladding or plating B23K;finishing surfaces by hammering B23P0009040000;compacting surfaces by blasting with particulate material B24C0001100000;general features of presses， presses for consolidating scrap B30B;furnaces in general F27)
754,B21K,-0.2114,-0.257,6,508,143229,MAKING FORGED OR PRESSED METAL PRODUCTS， e.g. HORSE-SHOES， RIVETS， BOLTS OR WHEELS (making particular articles by working sheet metal without essentially removing material B21D;processing wire B21F;making pins， needles or nails B21G;making particular articles by rolling B21H;forging machines， pressing machines， hammering machines， in general B21J;making chains B21L;plating B23K)
755,B21L,-0.2577,-0.2744,6,229,8057,MAKING METAL CHAINS (making chains or chain links by casting B22D0025020000;chains in general F16G)
764,B22C,0.1676,-0.1582,3,569,163339,FOUNDRY MOULDING (moulding refractory materials in general B28B)
765,B22D,0.0179,-0.1554,3,642,489972,CASTING OF METALS; CASTING OF OTHER SUBSTANCES BY THE SAME PROCESSES OR DEVICES (shaping of plastics or substances in a plastic state B29C;metallurgical processing， selection of substances to be added to metal C21， C22)
767,B22F,0.1497,0.0382,3,634,687178,WORKING METALLIC POWDER; MANUFACTURE OF ARTICLES FROM METALLIC POWDER; MAKING METALLIC POWDER (making alloys by powder metallurgy C22C); APPARATUS OR DEVICES SPECIALLY ADAPTED FOR METALLIC POWDER
777,B23B,-0.072,-0.4886,6,631,459398,TURNING; BORING (using an electrode which takes the place of a tool B23H， e.g. making holes B23H0009140000;working by laser beam B23K0026000000;arrangements for copying or controlling B23Q)
778,B23C,-0.1146,-0.4495,6,501,144167,MILLING (broaching B23D;broach-milling in making gears B23F;arrangements for copying or controlling B23Q)
779,B23D,-0.1247,-0.5292,6,603,327107,PLANING; SLOTTING; SHEARING; BROACHING; SAWING; FILING; SCRAPING; LIKE OPERATIONS FOR WORKING METAL BY REMOVING MATERIAL， NOT OTHERWISE PROVIDED FOR (making toothed gears or the like B23F;cutting metal by applying heat locally B23K;arrangements for copying or controlling B23Q)
781,B23F,-0.2186,-0.4245,6,353,33686,MAKING GEARS OR TOOTHED RACKS (by stamping B21D;by rolling B21H;by forging or pressing B21K;by casting B22;arrangements for copying or controlling B23Q;machines or devices for grinding or polishing， in general B24B)
