id	x	y	cluster	weight<Links>	weight<Total link strength>
B60T	-0.6714	0.5661	4	543	457245
B60V	-0.4212	0.5206	4	289	15848
B60W	-0.6708	0.436	4	440	786809
B61B	-0.6673	0.4913	4	486	121718
B61C	-0.8208	0.6555	4	411	61449
B61D	-0.6811	0.531	4	527	161049
B61F	-0.8094	0.6771	4	407	59970
B61G	-0.8357	0.6878	4	319	22936
B61H	-0.8399	0.7404	4	326	39789
B61J	-0.8219	0.6487	4	251	10151
B61K	-0.8243	0.4904	4	378	44927
B61L	-0.9624	0.2995	4	429	108450
B62B	-0.4996	0.145	4	535	159581
B62C	-0.7582	0.424	4	198	2173
B62D	-0.4796	0.3578	4	598	1024056
B62H	-0.9872	0.4205	4	308	50601
B62J	-0.8165	0.4455	4	473	209091
B62K	-0.8293	0.5196	4	490	213775
B62L	-0.9641	0.712	4	268	43042
B62M	-0.8121	0.5609	4	451	164036
B63B	-0.3186	0.4597	4	600	469152
B63C	-0.5163	0.3942	4	504	116373
B63G	-0.6571	0.5614	4	420	52331
B63H	-0.3738	0.6883	4	528	196123
B63J	-0.1537	0.7838	4	375	57065
B64B	-0.7182	0.3688	4	344	15557
B64C	-0.582	0.3948	4	569	414498
B64D	-0.5516	0.3761	4	562	441088
B64F	-0.6388	0.3268	4	479	135093
B64G	-0.5101	0.4237	1	500	82382
B64U	-0.8001	0.3908	4	357	45635
B65B	0.2563	-0.2242	2	628	709656
B65C	-0.0852	-0.5731	2	493	88963
B65D	0.1284	-0.148	2	639	2124457
B65F	0.0971	0.0398	6	514	116040
B65G	0.0238	0.0413	4	637	1362066
B65H	-0.0022	-0.5451	2	624	1135192
B66B	-0.5236	0.2331	4	528	150326
B66C	-0.3676	0.354	4	579	296126
B66D	-0.4782	0.4129	4	509	109611
B66F	-0.4368	0.3298	4	579	275872
B67B	0.3083	-0.1725	2	479	62171
B67C	0.3972	-0.1016	2	452	78517
B67D	0.2023	0.1415	2	583	254114
B68B	-0.0847	-0.5254	8	182	2755
B68C	-0.0652	-0.573	8	171	2477
B68F	0.0852	-0.7786	2	171	2573
B68G	-0.0414	-0.5598	6	350	55705
B81B	-0.3838	-0.0469	1	447	204804
B81C	-0.3238	-0.1283	1	401	148613
B82B	0.4687	-0.1072	3	440	121084
B82Y	0.4373	-0.065	3	535	406689
B99Z	-0.7226	0.0827	1	13	26
C01B	0.668	0.2295	3	617	1516529
C01C	1.0216	0.3372	3	400	82823
C01D	0.9728	0.2542	3	422	97808
C01F	0.8159	0.1531	3	520	282727
C01G	0.5722	0.1346	3	539	608265
C02F	0.6447	0.2287	3	610	1477077
C03B	0.2468	-0.0448	5	583	369768
C03C	0.1928	-0.1294	5	598	768427
C04B	0.333	0.1113	3	629	1441058
C05B	1.4404	0.2263	3	305	37824
C05C	1.4212	0.2082	3	309	53192
C05D	1.4094	0.1834	3	321	59044
C05F	1.2272	0.1352	3	471	200760
C05G	1.2706	0.1478	3	409	218700
