id,x,y,cluster,weight<Links>,weight<Total link strength>,label
A61C,0.1716,-0.2825,2,555,294498,DENTISTRY; APPARATUS OR METHODS FOR ORAL OR DENTAL HYGIENE (non-driven toothbrushes A46B;preparations for dentistry A61K0006000000; preparations for cleaning the teeth or mouth A61K0008000000. A61Q0011000000)
A61D,0.4257,-0.3657,8,429,74222,VETERINARY INSTRUMENTS. IMPLEMENTS. TOOLS. OR METHODS
A61F,0.0942,-0.4069,2,629,1489164,FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO. OR PREVENTING COLLAPSING OF. TUBULAR STRUCTURES OF THE BODY. e.g. STENTS; ORTHOPAEDIC. NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES. DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)
A61G,-0.2968,-0.1578,6,558,356757,TRANSPORT. PERSONAL CONVEYANCES. OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS (appliances for aiding patients or disabled persons to walk A61H0003000000); OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES (embalming corpses A01N0001000000)
A61H,-0.1723,-0.3119,6,565,444841,PHYSICAL THERAPY APPARATUS. e.g. DEVICES FOR LOCATING OR STIMULATING REFLEX POINTS IN THE BODY; ARTIFICIAL RESPIRATION; MASSAGE; BATHING DEVICES FOR SPECIAL THERAPEUTIC OR HYGIENIC PURPOSES OR SPECIFIC PARTS OF THE BODY (electrotherapy. magnetotherapy. radiation therapy. ultrasound therapy A61N)
A61J,0.3381,-0.2448,2,536,412313,CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSES; DEVICES OR METHODS SPECIALLY ADAPTED FOR BRINGING PHARMACEUTICAL PRODUCTS INTO PARTICULAR PHYSICAL OR ADMINISTERING FORMS; DEVICES FOR ADMINISTERING FOOD OR MEDICINES ORALLY; BABY COMFORTERS; DEVICES FOR RECEIVING SPITTLE
A61K,0.9641,-0.2041,3,630,12935138,PREPARATIONS FOR MEDICAL. DENTAL OR TOILETRY PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J0003000000;chemical aspects of. or use of materials for deodorisation of air. for disinfection or sterilisation. or for bandages. dressings. absorbent pads or surgical articles A61L;soap compositions C11D)
A61L,0.3987,-0.178,2,627,1733401,METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION. STERILISATION OR DEODORISATION OF AIR; CHEMICAL ASPECTS OF BANDAGES. DRESSINGS. ABSORBENT PADS OR SURGICAL ARTICLES; MATERIALS FOR BANDAGES. DRESSINGS. ABSORBENT PADS OR SURGICAL ARTICLES (preservation of bodies or disinfecting characterised by the agents employed A01N;preserving. e.g. sterilising. food or foodstuffs A23;preparations for medical. dental or toiletry purposes A61K)
A61M,0.1041,-0.1964,2,613,1425675,DEVICES FOR INTRODUCING MEDIA INTO. OR ONTO. THE BODY (introducing media into or onto the bodies of animals A61D0007000000; means for inserting tampons A61F0013260000; devices for administering food or medicines orally A61J; containers for collecting. storing or administering blood or medical fluids A61J0001050000); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L; magnetotherapy using magnetic elements placed within the body A61N0002100000); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR
A61N,-0.0884,-0.3203,1,572,588847,ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY (measurement of bioelectric currents A61B;surgical instruments. devices or methods for transferring non-mechanical forms of energy to or from the body A61B0018000000;anaesthetic apparatus in general A61M;incandescent lamps H01K;infrared radiators for heating H05B)
A61P,1.0969,-0.2047,3,568,8946797,SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS
A61Q,1.0454,-0.2794,3,501,1621019,SPECIFIC USE OF COSMETICS OR SIMILAR TOILETRY PREPARATIONS
A62B,-0.2108,-0.1059,6,569,210383,DEVICES. APPARATUS OR METHODS FOR LIFE-SAVING (valves specially adapted for medical use A61M0039000000;composition of chemical substances used in respirators. gas-masks. breathing apparatus or the like A62D;rescuing from mountains or trees A63B0027000000. A63B0029000000;life-saving devices. apparatus or methods specially adapted for use in water B63C0009000000;divers' equipment B63C0011000000;specially adapted for use with aircraft. e.g. parachutes or ejector seats. B64D;rescue devices peculiar to mining E21F0011000000)
A62C,-0.2118,0.2796,6,588,231356,FIRE-FIGHTING (fire-extinguishing compositions. use of chemical substances in extinguishing fires A62D0001000000;spraying. applying liquids or other fluent materials to surfaces in general B05;fire-fighting aircraft B64D0001160000;alarm arrangements G08B. e.g. fire alarms actuated by smoke or gases G08B0017100000)
A62D,0.816,0.1702,3,492,135412,CHEMICAL MEANS FOR EXTINGUISHING FIRES; PROCESSES FOR MAKING HARMFUL CHEMICAL SUBSTANCES HARMLESS. OR LESS HARMFUL. BY EFFECTING A CHEMICAL CHANGE; COMPOSITION OF MATERIALS FOR COVERINGS OR CLOTHING FOR PROTECTING AGAINST HARMFUL CHEMICAL AGENTS; COMPOSITION OF MATERIALS FOR TRANSPARENT PARTS OF GAS-MASKS. RESPIRATORS. BREATHING BAGS OR HELMETS; COMPOSITION OF CHEMICAL MATERIALS FOR USE IN BREATHING APPARATUS
A63B,-0.5206,-0.2344,6,605,360584,APPARATUS FOR PHYSICAL TRAINING. GYMNASTICS. SWIMMING. CLIMBING. OR FENCING; BALL GAMES; TRAINING EQUIPMENT (apparatus for passive exercising. massage A61H)
A63C,-0.4048,-0.1527,6,504,69404,SKATES; SKIS; ROLLER SKATES; DESIGN OR LAYOUT OF COURTS. RINKS OR THE LIKE (water skis B63B0032000000. B63B0034000000)
