IPC_A,IPC_B,Co-occurrence
F28D,H01C,48
C09B,H01C,48
C08L,G07C,48
F03G,G05F,48
B07B,G01R,48
A63B,F25C,48
B05D,F02D,48
A01M,B26F,48
A61M,C12S,48
B23Q,G10L,48
A61K,B61D,48
F02P,F21V,48
F23N,G06K,48
A63F,G03F,48
C25F,H02M,48
C08H,C23F,48
C30B,H02M,48
A23L,D01C,48
E05C,H02P,48
G05G,H04H,48
B60H,F17D,48
A21B,B24B,48
E04C,H03K,48
F15B,G03F,48
D02G,G05D,48
A41D,G04G,48
A45D,F24V,48
E04D,H10N,48
A61P,G07F,48
A63D,H01H,48
A45F,B62D,48
B22C,D21J,48
B01F,B68G,48
A01J,G01L,48
C23G,D01D,48
D06H,H02K,48
C09K,G01C,48
B29L,F23D,48
B28D,G11C,48
C30B,D21H,48
F16T,G01L,48
B27D,F21V,48
B26D,C10M,48
D06P,E04B,48
B03C,F25J,48
B24D,B27M,48
A46B,D01G,48
B23P,G03D,48
E06B,F22B,48
G06K,H01K,48
B61H,E01H,48
A23L,B23B,48
A63H,H04J,48
F41H,G09G,48
F23M,G05D,48
C23F,H05F,48
B62D,C03B,48
B66F,B67B,48
C01C,G21C,48
C04B,F03H,48
B22D,B26B,48
A23N,C07G,48
A23N,C07J,48
A01K,B31D,48
C11C,C12S,48
C23C,G07C,48
B22F,F15D,48
A47K,F27D,48
B31B,B43L,48
A61G,B25G,48
A23P,B66F,48
A45C,D06H,48
C21B,F23Q,48
B01D,B61K,48
A45C,G16H,48
B61K,F16H,48
C02F,G16H,48
D06H,F16M,48
E04F,H04W,48
B42F,F16F,48
A62C,B44C,48
A01M,B07C,48
B22D,E05F,48
C10B,G01L,48
E05C,H02S,48
A47H,D06P,48
A24F,A47C,48
E01C,H01H,48
A01B,H01M,48
D02J,E01C,48
G01N,H04H,48
E03B,H01Q,48
B61B,F03G,48
B33Y,F23D,48
A23L,G01C,48
C23C,G04G,48
B82B,G06T,48
B33Y,D02G,48
B60P,C12N,48
F15D,G01V,48
B09B,B33Y,48
A61J,G03H,48
C07B,H02K,48
A44C,G07G,48
B33Y,B60B,48
A44C,G06V,48
G06K,H05H,48
A45C,B23K,48
B67D,G06N,48
B63B,G10L,48
A01D,H05B,48
B29K,F24D,48
A01J,A23K,48
B27N,C11D,48
G07D,H02K,48
E05G,F16L,48
C11D,F01N,48
A47H,C08K,48
C12R,G01R,48
A22C,B21D,48
A24F,A61N,48
B41N,F16L,48
E04F,G11B,48
G01G,G03F,48
B25J,G04D,48
C01C,H01B,48
B82Y,G06Q,48
B41F,D05C,48
C21B,F28G,48
A63B,B67D,48
C07J,G06F,48
B29K,H05F,48
A24B,G08B,48
C07G,D01D,48
B29B,B66B,48
B22C,B24D,48
A01G,F27D,48
B01D,G07D,48
G16Y,H02G,48
A43D,B01F,48
F02K,H01J,48
A01B,E04B,48
G16H,H02H,48
B60Q,F04B,48
B61D,E21B,48
F16F,G09G,48
B22D,E21D,48
B24C,G01M,48
B09B,B25H,48
B23C,H01J,48
B28B,B43L,48
B66B,G16Y,48
A62C,B23H,48
B21F,B41F,48
B01B,F17C,48
E21F,F23D,48
B26F,H04L,48
A23K,H01B,48
A24C,C04B,48
F07F,F42B,48
A41H,C08F,48
B29D,H03K,48
A47B,G21F,48
B21C,E05B,48
B41B,F16H,48
C10G,H04L,48
A41B,C07C,48
G04G,G06G,48
B21D,C01F,48
A47C,D05C,48
A47J,C21C,48
C06B,F16K,48
C05C,C07G,48
B66D,C21C,48
C09B,H02K,48
B23D,B60C,48
B03D,F04D,48
B29K,D21C,48
B29L,D21B,48
C08B,D06F,48
B28B,B42D,48
B44C,G01S,48
B61B,H04Q,48
C11D,G11C,48
C09G,H05B,48
C03C,G21H,48
E21F,F23N,48
B60P,D06H,48
B01K,H01G,48
B31B,E02D,48
A22B,G08B,48
B04B,F22B,48
A61P,E05C,48
A41B,C22C,48
F25J,F27B,48
D06L,H01J,48
H01V,H02K,48
C08K,F23Q,48
B07B,C02C,48
B41L,G07G,48
A41G,C09K,48
A61M,B60L,48
F02F,F17C,48
B25C,B30B,48
A47L,C14C,48
F02K,G01R,48
F16T,G08C,48
A01M,H05F,48
A63G,F04D,48
A61B,E03B,48
B01J,C07M,48
B43L,C08F,48
C30B,H04L,48
F02C,H03B,48
C03B,F23Q,48
A47F,E21D,48
B41K,D06F,48
D06M,H04M,48
B60T,E03B,48
G21K,H01R,48
C21D,H04Q,48
B61F,E01D,48
D03D,F15B,48
B67C,G21K,48
B82Y,H04W,48
A23D,F25D,48
A01G,D06C,48
C09J,D03C,48
A62C,B27N,48
C12N,G05F,48
D06Q,D21F,48
B21J,E01F,48
A61H,H01C,48
A23L,B43K,48
B01K,B22F,48
F16J,H01K,48
A61D,H04W,48
B29D,G07B,48
B42D,F24J,48
A61F,D03C,48
C09J,H03F,48
A47H,B60N,48
G05D,G10H,48
B26F,G01R,48
F21K,G04G,48
A47F,B60Q,48
A45F,H01H,48
A63F,B60L,48
B61D,H01Q,48
A41H,G16H,48
F21K,F41B,48
F02N,G06Q,48
A45B,B65H,48
A45C,F21K,48
G08B,G16B,48
C12P,H10N,48
F04B,G02C,48
A61M,H10K,48
B05D,D01C,48
B63H,F23N,48
G07D,H01R,48
B07C,G16H,48
D03D,G06N,48
F04B,G16Y,48
B63J,F23J,48
B27K,G05D,48
G01H,G10C,48
A46B,B29F,48
A23L,D06B,48
A01D,B27K,48
A47H,H04R,48
A44C,B41K,48
B29D,B41B,48
E01H,G01K,48
B65H,C30B,48
B41K,C04B,48
A41G,A63B,48
A63B,F03D,48
A61P,C10C,48
A63D,G01C,48
B09C,F23D,48
A61F,B64F,48
A63B,B68F,48
C12P,G01F,48
A61N,D21H,48
B66B,H01J,48
G06M,H02H,48
G10K,H05F,48
C01D,F22B,48
A01G,B61C,48
A23B,F23J,48
F28D,G21K,48
C30B,F04D,48
F27D,G09F,48
C07D,H04H,48
A01C,C07J,48
G09C,H02J,47
D21J,F16D,47
C12M,E03C,47
G01W,H02N,47
B63G,F02G,47
E01C,F23L,47
B60T,C09J,47
C07G,C22B,47
A23N,B44C,47
B30B,C07B,47
G04R,H03G,47
H03C,H05H,47
A23D,D06M,47
B03C,C12H,47
C10N,D07B,47
B62K,C22F,47
B24C,E04H,47
B43K,H04R,47
G06Q,G12B,47
B81C,D01F,47
B61L,F02D,47
G04B,G06T,47
B41M,F21Y,47
D06M,F17C,47
B29K,B82B,47
B82B,G01T,47
G10G,H05B,47
A63B,B23D,47
A62D,E02F,47
C06D,G01N,47
B04B,B29K,47
C09B,E04F,47
E05F,G01H,47
B26B,G06T,47
F02F,H10N,47
B29K,F24C,47
B29D,E05B,47
B60L,G01W,47
F02B,H01S,47
C21D,G03G,47
B63B,D02G,47
A01B,H04M,47
B29K,C07K,47
A63H,C23C,47
E04B,F24V,47
C04B,F16N,47
B02C,H04L,47
C01G,G03H,47
C10M,H05H,47
A46B,G02F,47
B41F,C09C,47
B03C,F02D,47
G05G,H01M,47
A01H,C05C,47
B28D,C08G,47
A46B,H04W,47
G01R,G02C,47
B25B,B61F,47
A61N,B60K,47
E06B,G04C,47
B63G,E06B,47
G04R,H03D,47
B21K,E04F,47
B06B,B60L,47
B41F,C11B,47
B60M,C21D,47
C11B,H02J,47
F02P,G09G,47
D21B,F04D,47
D21C,F04B,47
B26D,B44D,47
B23G,E04C,47
A23J,C25B,47
E05F,H01C,47
C08F,H02P,47
D01B,F23R,47
B21K,B27B,47
C12C,F27D,47
F24J,H01B,47
B23Q,C21B,47
B60C,B61C,47
B29F,G01F,47
A47L,D07B,47
B02C,H02M,47
C01D,H05B,47
B42F,H01R,47
E06C,F02B,47
A61M,F02D,47
B63H,E05C,47
C25B,F23N,47
A23K,C01C,47
C10J,G02B,47
A61L,F02G,47
B42D,D04H,47
A01D,B23B,47
F27D,H03K,47
B03C,F23B,47
E06B,G10H,47
D06N,F02F,47
A01C,A46B,47
B27B,C07D,47
A47K,B67C,47
A61H,G01H,47
F17C,G09B,47
B60S,G12B,47
B60T,F21V,47
E21C,G01P,47
B01F,F03G,47
B23K,E21F,47
C08J,F28C,47
B64D,F02P,47
C04B,G03D,47
B23F,G01D,47
B28D,F23J,47
A61F,G12B,47
E21D,F02B,47
A23C,C23G,47
F04B,H01C,47
A61K,G12B,47
A63B,B41K,47
A47D,G03B,47
A63C,G03B,47
B29K,C12S,47
B41M,C10L,47
B28C,C03B,47
C09G,G02B,47
A21B,E21B,47
A63F,C03B,47
B01B,F23L,47
C25D,F23D,47
A46D,B65B,47
A23L,G21H,47
A43B,G04B,47
B28B,D06H,47
C07H,G21H,47
B07B,F42B,47
B02C,B67B,47
B27B,G01C,47
B31D,E04F,47
D06H,G01P,47
B63H,H05B,47
C21B,G01H,47
B28B,F24B,47
A01D,B24D,47
F22B,H01S,47
C10N,H01J,47
B23H,G21F,47
F16N,G03B,47
B66D,F04C,47
A01G,C01C,47
F21H,H01L,47
A21B,H02K,47
C08F,F23C,47
C13B,C13H,47
A63G,E04C,47
D06B,H03G,47
B81B,G08C,47
B67B,F16F,47
A43C,A47L,47
B62B,H01Q,47
D06H,E02B,47
B41J,B66F,47
B63G,H02M,47
B07B,E04H,47
E04D,F17C,47
E05D,F24D,47
C07D,F15D,47
A21B,G01J,47
B41J,C10M,47
C23D,D06F,47
E05D,H02N,47
H01B,H04H,47
B65C,H01J,47
B60M,F16S,47
F16D,G03D,47
A44C,C23D,47
B02B,G01J,47
B25J,F28D,47
A01D,G11B,47
C08G,C12D,47
F16J,F21M,47
B05D,B65F,47
B04C,H01L,47
B65G,E02C,47
A01M,D04C,47
B61H,H02J,47
B60H,C25B,47
E01F,G10L,47
A21B,C08K,47
G11B,G21C,47
A01N,F42B,47
B65D,F23B,47
A47C,C07H,47
F22B,H01B,47
B24D,G06F,47
A23L,H02P,47
A01J,B41J,47
A23B,B09B,47
B41C,G09G,47
A63C,E05D,47
B27C,F16M,47
B30B,G08C,47
B60K,D03D,47
B01D,H05G,47
F16G,F16S,47
F04B,G01W,47
B30B,C08F,47
C06C,C07F,47
B44D,D21F,47
F16L,H01T,47
A45B,A47J,47
B28D,C21B,47
E05D,G21C,47
F41H,H05H,47
C02F,G04C,47
B43L,B65B,47
B25H,B61D,47
F41B,H03K,47
C09D,G01P,47
A61N,E03C,47
B25H,E21C,47
C23F,F23D,47
B21B,D06M,47
D05B,H01J,47
H02M,H04H,47
F02K,H01B,47
C07D,G01Q,47
B60T,C12N,47
C12N,G21C,47
C09J,H03K,47
C05D,F23J,47
B21F,G09F,47
B28C,F04F,47
A62C,B67C,47
B81C,F16B,47
B26D,B60P,47
A61L,B27F,47
B65H,F22B,47
B22C,C10B,47
B41M,G01V,47
D04G,F16G,47
B22C,G01D,47
C09C,C21C,47
B63J,F25C,47
A24C,F25D,47
B41D,C08K,47
F21L,G01V,47
F17C,H02H,47
C10G,F02K,47
A24C,D03D,47
E04B,F01P,47
A63F,F28D,47
F24D,G21C,47
B03B,B60P,47
A24F,A61Q,47
D01F,F02K,47
F17D,G07F,47
A41F,B44C,47
A63C,B23B,47
F23M,G01F,47
C09D,G01C,47
D06Q,H05B,47
B44C,C07K,47
B44C,C12R,47
A63J,B01D,47
B41F,G05F,47
D05B,H01R,47
C23D,G21C,47
B60C,H01C,47
B29H,E01C,47
A43D,H02K,47
B25H,G06V,47
B22D,F17D,47
E01B,F16D,47
B21F,D06C,47
B25F,E04D,47
C22B,F15B,47
F41J,G01N,47
B22F,H02B,47
B44C,F16K,47
B65D,C09H,47
B44F,B60Q,47
C08K,H01T,47
F01K,F16F,47
B03C,B60R,47
B60B,H02P,47
D02G,H04N,47
A23B,F16B,47
C07F,F02F,47
D06H,G06V,47
B25J,C14B,47
A21D,A61C,47
D01D,F16G,47
B65B,F24J,47
C12P,F22B,47
G21B,H02N,47
B28B,B61B,47
A41C,G21F,47
B07C,B27J,47
A01G,F02C,47
E01B,E05F,47
A23P,B07C,47
G07G,H01F,47
E02D,H01T,47
A01M,B66B,47
A61L,F03D,47
A47H,G10L,47
B42F,E05G,47
B66F,C08L,47
B33Y,E02B,47
F04D,F24V,47
F21W,G01F,47
B27D,G10C,47
B23B,F21Y,47
B03B,F16H,47
B66B,H03H,47
A45B,B64D,47
C10M,G05B,47
A61L,B64U,47
A24C,A61K,47
A24F,H01B,47
F27D,G06V,47
A61M,G21C,47
A01B,B64U,47
B25G,F21Y,47
B61K,C08L,47
A22C,A47K,47
A01C,D21C,47
G06Q,H10B,47
A43B,F16H,47
F21V,G21H,47
B01L,H03K,47
A24B,H01R,47
B64U,F16B,47
B25F,H04M,47
A01J,G06V,47
B60W,B66B,47
B60J,F15D,47
B29K,H05H,47
B64C,F01C,47
F42D,H02G,47
D21D,G06F,47
B82B,F28D,47
A47L,B64U,47
B82Y,F01D,47
F23C,G02B,47
A44C,H10N,47
B25C,E04C,47
F16D,G03F,47
C03C,F22B,47
C04B,G16B,47
F41C,G06K,47
D01B,E04B,47
D21J,G06F,47
A01G,H01C,47
C10L,H04N,47
A61G,D01F,47
D03D,F42D,47
D02G,G01D,47
A23B,B82Y,47
A23C,C09J,47
F01N,G06K,47
B08B,C10N,47
D02G,E02B,47
B25G,B60T,47
B21F,G01K,47
E05D,F04B,47
A41D,F24V,47
E02C,G05B,47
B23K,G16C,47
D05B,H05F,47
B62D,G01T,47
B41K,B81C,47
C08L,G06V,47
B27B,B44C,47
B23P,H10K,47
B64D,F28B,47
B31B,F21V,47
A62B,B44C,47
B01F,B27L,47
A01N,B22C,47
B21J,D03D,47
E03C,F22D,47
B29D,B64B,47
C07H,H02P,47
B04C,C08G,47
E04F,G01R,47
A01C,A63H,47
C11B,H04B,47
G10L,H01J,47
A01D,B66D,47
A47C,B21C,47
A61Q,G01M,47
A61K,B62K,47
B66D,C21B,47
E01C,E01G,47
C08K,H03C,47
B04C,F25D,47
D07B,F24H,47
C07B,H01H,47
B01J,H04H,47
B60R,C07J,47
A47J,H03C,47
A47K,A63C,47
A47K,C23F,47
C09K,C10F,47
C08H,H05K,47
B68G,E04C,47
E06B,G04B,47
B61C,B67D,47
B30B,B60N,47
A61M,F23J,47
A61P,C12B,47
A21B,F25B,47
B25F,E01B,47
C10C,D21H,47
C08L,F01C,47
D02G,D06F,47
B82B,C10N,47
A01K,C12D,47
C12N,H02G,47
A24B,B42C,47
A24B,G03G,47
A24D,B42C,47
B42C,C09B,47
G05D,G07G,47
F01M,H01L,47
C21B,H01H,47
B64F,C03B,47
A61B,F23L,47
B04B,H03B,47
D03D,H02J,47
B44C,D01F,47
B61G,E01F,47
C02C,G21K,47
B60Q,C12L,47
A23D,H01L,47
B27K,B60R,47
B28B,B65F,47
B05D,B09C,47
C05G,C23G,47
D21J,H05B,47
D03D,G03F,47
F42C,G04C,47
C08G,C14B,47
B60G,H02M,47
B23B,C07F,47
D06F,D06Q,47
B61D,F02M,47
B22F,C22D,47
G01L,H04S,47
B24D,C07C,47
F03G,F23R,47
F16D,G21F,47
B06B,F27D,47
A61D,A62C,47
B41D,B44B,47
A61K,G01H,47
F02M,H03B,47
B63C,C23F,47
B60P,D06B,47
A63C,B42D,47
D06N,G02F,47
C08F,G06N,47
A61F,B21G,47
D02J,D04G,47
B06B,E04H,47
F42B,H02N,47
F21K,G06T,47
A61K,G05F,47
A01K,D06C,47
B30B,C22D,47
B28C,G01B,47
F41B,G01B,47
B63B,H05F,47
B61H,G08B,47
B60G,G01F,47
D01F,G01M,47
B42D,G05F,47
B23G,B27G,47
G16H,H04J,47
A47J,B33Y,47
B65F,H04Q,47
C11B,F22B,47
B21D,H04L,47
A61H,H01B,47
C12M,D03D,47
B42F,B62B,47
A61L,G16Z,47
F22B,H04L,47
B27B,H04N,47
B23K,E01H,47
B27J,B29B,47
A41H,G01M,47
C04B,G01W,47
B25J,H03H,47
A61L,C10C,47
B01K,C10G,47
D04H,F24D,47
C23C,G05G,47
A01K,H05H,47
B63C,C09J,47
G21G,H05B,47
G04D,H02P,47
B01D,B27J,47
F02D,H01G,47
B23K,E01F,47
B64U,E01D,47
B61C,G09F,47
C07D,D02G,47
C06B,H01J,47
B81C,F26B,47
A23F,F16K,47
B04B,B67D,47
B23P,G10D,47
F02G,F28B,47
C22F,C22K,47
D05C,G06Q,47
B02B,G06F,47
A01P,B60P,47
B29B,H10N,47
C09J,G09G,47
E21D,F24D,47
F22D,G06F,47
F16F,G06M,47
F16K,F41H,47
F23K,H02J,47
B62C,G06F,47
A44B,B41F,47
B25J,D06B,47
A47H,H01F,47
C22B,G09G,47
B44C,H01P,47
G09X,H01L,47
F24C,F25C,46
A22B,B09B,46
G07G,H01L,46
B03C,B27N,46
E03F,G21F,46
G04R,H03B,46
D01D,G03G,46
B43K,H01M,46
B23C,F04B,46
G02F,H02P,46
G01J,G21B,46
F23K,F25J,46
B09B,F22G,46
B64F,H04R,46
A62B,D06P,46
B23P,B61H,46
B29K,H01P,46
B02C,F03D,46
D01F,F16H,46
A62C,F01M,46
A47L,F21L,46
F42B,H02P,46
A41H,B43K,46
F28F,H01T,46
B25H,G03C,46
F16K,H03H,46
B60G,B63H,46
G04F,H01M,46
B05B,B63G,46
C23G,F02F,46
B82B,H04R,46
G07B,H01M,46
B29K,B63H,46
A24D,G06V,46
B63G,C06D,46
G07B,H04R,46
C08K,D21G,46
A63K,B63B,46
G01B,G10G,46
B65F,F04D,46
D06C,G11B,46
G01Q,H10B,46
A63B,B82Y,46
G01Q,G09G,46
C22B,D21H,46
A47G,C30B,46
G04R,H01L,46
D04H,F01D,46
B31B,C03C,46
B01F,H01T,46
F23M,G21F,46
B60H,G03B,46
A01N,E03F,46
B25C,C11B,46
B27G,C11B,46
B27K,C22C,46
B60L,C11B,46
B60L,C21D,46
B60M,C11B,46
B60V,C11B,46
B60W,C11B,46
B61B,C11B,46
B62K,C11B,46
C11B,H02N,46
B24C,G03C,46
F16M,H05H,46
A41H,D21H,46
B25J,C23G,46
A24D,C07H,46
B26F,H10N,46
A41G,F16M,46
B25D,G01H,46
A01B,B25H,46
F16K,F16S,46
B60T,C09D,46
D21F,F27D,46
B67C,F02M,46
G02B,G03X,46
B23K,G03D,46
F15C,H01F,46
C12D,C13B,46
C02C,D06M,46
B29B,F24D,46
B29H,G01G,46
C02C,E02D,46
B06B,F01D,46
C10J,C25C,46
F27D,H04B,46
B25B,C25B,46
B29H,E04C,46
B60B,B60H,46
B60J,H02B,46
E01H,F41H,46
F16S,G06F,46
C03C,E05B,46
A01C,A47L,46
C22C,F23H,46
B21G,E04C,46
B60J,C10M,46
A61N,G04C,46
B44F,C25F,46
B44F,G09G,46
A47G,G05G,46
B25B,B29F,46
B22D,D21G,46
G10G,H03B,46
B27J,C09J,46
C10G,G10G,46
A22C,B24B,46
B60P,B67C,46
A41F,D04C,46
B65D,B68C,46
C12S,G21F,46
C09B,H04B,46
B68G,F16L,46
B41B,B42C,46
B01F,G02C,46
B61F,E01F,46
A63B,C12P,46
A23P,B23D,46
F16F,G21K,46
B43K,C08G,46
E04D,H01J,46
H01F,H05C,46
D06C,H01J,46
C10B,C23G,46
A24F,A46B,46
A47K,E01C,46
B03B,F16C,46
A01B,C12P,46
A61M,C12H,46
B21F,B60J,46
F16F,G06G,46
C10B,F42B,46
D21F,F16P,46
F16J,F23Q,46
A61M,B07B,46
A41D,B25F,46
G03D,G07C,46
B41J,E04C,46
B21K,B66F,46
F22B,F41H,46
D21F,E05B,46
A01L,B68C,46
B42F,B44D,46
A24F,C07F,46
A41B,C07F,46
B27M,D21B,46
A24C,C08L,46
C08G,F01M,46
E04F,F04C,46
B23Q,F04F,46
C12M,F01N,46
D01D,D21J,46
C01C,D06B,46
F42D,H04Q,46
B62J,G12B,46
E04C,F15B,46
B43M,G01G,46
A41G,F21P,46
B61D,H02B,46
F24B,F24S,46
E01C,H04B,46
B65B,E03F,46
G06G,G09C,46
C03B,C10K,46
F01N,G01P,46
C12Q,G01G,46
B63C,F24J,46
C02C,F28F,46
C07F,G07D,46
A47C,D04D,46
B60H,E21B,46
C10G,F16B,46
F03C,F16B,46
F02M,G01S,46
D02H,F26B,46
B26B,G06M,46
B23F,H02K,46
C21C,F02B,46
B03C,G01T,46
A45D,E03D,46
A22C,E03C,46
A45B,H05K,46
C12H,C23F,46
E03F,F16N,46
A21C,C09D,46
C06B,F15B,46
B60C,H02M,46
B25J,C09K,46
C07B,C25C,46
B25B,B68G,46
C01D,E21C,46
B63C,E03F,46
C08J,F21M,46
C03C,D21J,46
B41J,F15D,46
B27N,B60J,46
A46B,C22C,46
B23Q,F23D,46
C25F,D01F,46
A61P,D02G,46
B25B,H03K,46
B01L,B21D,46
C08G,G05F,46
F04D,F16G,46
B21J,G04D,46
E06B,F23L,46
A61G,B63H,46
A61M,F03C,46
B60G,H03K,46
B26F,F04F,46
A46B,B66B,46
B25B,F01P,46
B64F,F15D,46
B60D,H04B,46
D06C,E04H,46
B02B,B04B,46
A63H,F23D,46
B60R,D06L,46
B21F,F02F,46
D06B,D21J,46
A44B,B08B,46
B62D,F02G,46
B23D,C08F,46
A01D,F04C,46
F42B,H04M,46
B62J,G04B,46
F02D,F03C,46
B67C,F16C,46
A45F,H02N,46
A47B,B23C,46
A45D,G01P,46
B65H,H03M,46
A01G,F02N,46
B60H,E04D,46
B25F,F02N,46
B02B,B30B,46
A23D,B29D,46
E21C,H01J,46
A41D,B21J,46
A61B,F01N,46
A45B,H01M,46
D06L,F16B,46
A63F,B01J,46
A61P,B31B,46
F02C,H01P,46
B27B,G06K,46
B62K,F03D,46
B21B,H02G,46
C11D,D06G,46
F16B,G10B,46
B22C,C10C,46
B64D,E04D,46
F17D,F42B,46
B27G,F16C,46
B25J,G06M,46
D02J,D05B,46
A62C,B07B,46
C07F,F16B,46
A47L,F03B,46
B44C,F16J,46
C07K,F02M,46
C12R,F04B,46
A23L,B03D,46
A45D,G03F,46
F42B,H03M,46
A62B,B60C,46
A61L,F01B,46
E01H,H05F,46
A41B,A61C,46
B25F,B62K,46
F02B,F28C,46
A24F,C11D,46
A61B,F23Q,46
B07B,D06B,46
C25D,F03G,46
C12D,E21B,46
G01B,G21H,46
B65B,G11C,46
A63J,F16H,46
B05B,F03C,46
C23G,F16H,46
B67B,H04M,46
B27L,B66F,46
B32B,G10G,46
E03F,H01M,46
A43B,B27N,46
C08K,F41J,46
B41F,C14B,46
F16L,G09G,46
E05F,F25B,46
B29G,F16J,46
C08H,E02B,46
A01M,A41G,46
A01D,A61J,46
B60H,E01H,46
A44C,B01D,46
A23B,F04D,46
B27D,D06M,46
F01M,H04N,46
A01H,C08J,46
B23B,B65C,46
B23D,B64F,46
A23P,G08B,46
B66D,G08G,46
B26D,C11B,46
A45C,F16H,46
B05C,H02J,46
A01B,F21S,46
E05F,G09B,46
E06C,H04Q,46
C12M,F16B,46
C02F,G10L,46
D06C,F21V,46
A47B,B67B,46
B24D,C23G,46
G10L,H02M,46
F23J,H02S,46
A45B,F03D,46
F16F,H04K,46
A47D,A61N,46
B44B,H02K,46
A45D,E04H,46
F16N,G08C,46
B61C,H05B,46
B60B,F04C,46
B66D,H01L,46
B22F,G03B,46
B61D,C12M,46
A61C,H04Q,46
A47C,C12N,46
B03D,C07K,46
G04B,H01G,46
A43B,B68F,46
B07B,G21K,46
B25F,C08L,46
C11D,G21C,46
A43B,F16C,46
A01C,B31B,46
B23C,G09F,46
A61D,C08G,46
A45C,B26D,46
B24B,H01Q,46
A63D,H05B,46
A63C,G02B,46
B60N,G16H,46
G04G,H01S,46
B63G,H01B,46
C06B,D01F,46
B60D,G01N,46
B67D,G10L,46
C12M,E02B,46
B60N,B64G,46
G16Y,H01Q,46
C30B,H01K,46
B64U,F41F,46
B27B,B29B,46
F03D,H04R,46
B33Y,F04C,46
B28C,H02J,46
A41D,G10H,46
G04B,G06V,46
B66D,G06T,46
B25C,F21V,46
C22B,E02F,46
E05C,F01D,46
B81C,F16J,46
B63G,G06V,46
B60W,H02S,46
A24B,G01F,46
G02F,G10H,46
B25J,B41C,46
A23L,G03B,46
A43D,F15B,46
A62C,G11B,46
B27K,G06T,46
B61G,H01H,46
B07C,H04R,46
A01D,B29B,46
A47D,F04D,46
A01G,F24V,46
A45D,G01C,46
A47C,D01B,46
B03C,G06Q,46
B04B,E02B,46
E03F,H01F,46
B60K,H04S,46
A23F,G08B,46
F23N,F28C,46
B33Y,B66C,46
F16B,G06V,46
E21C,F03G,46
B43K,D21H,46
E21D,F24T,46
B21K,C21C,46
C23F,D01D,46
B21J,F41H,46
B21D,B68G,46
A01B,C09D,46
A22C,A23F,46
C25B,G21K,46
B22F,C08H,46
C23C,H03J,46
F01D,H04M,46
C07D,G10L,46
B23Q,C09B,46
B04B,C07J,46
C08G,F23G,46
B65H,C07J,46
B65D,C01C,46
F02G,F42B,46
C12H,F17C,46
A61K,B68G,46
C01M,C10M,46
C08K,F01C,46
A63C,H04N,46
B65B,H03J,46
B29D,G08G,46
B23H,G02F,46
A61C,D04B,46
D21F,H01L,46
B29L,F01L,46
D07B,F41H,46
C25D,F17C,46
C23B,H01C,46
B66F,C08F,46
C23G,F23D,46
B07C,G21H,46
A01B,B21H,46
A23P,G03C,46
B65B,E05F,46
E04B,G04B,46
A01G,B44D,46
B01L,D21H,46
F04D,G06G,46
A43B,C12P,46
C07K,H02G,46
B66B,C12N,46
A23L,C06D,46
B67D,F17B,46
C07J,C12G,46
B62M,C09K,46
A61G,B60V,46
A23B,F24J,46
B43L,G01M,46
A01P,C08C,46
A61Q,G09G,46
B67B,D01F,46
B01D,B44F,46
A61P,F27D,46
B23K,D21C,46
D06M,E03B,46
A61M,E03F,46
B22D,F22D,46
D02G,G01R,46
C07D,C12F,46
F15B,G02F,46
A46D,A61P,46
B42D,F21K,46
B63G,G01F,46
F02B,G03F,46
D06P,H03K,46
F42B,H01P,46
B01J,B21K,46
C10B,G02B,46
B60G,F04D,46
B62M,H03F,46
A01D,H01Q,46
A42B,H01F,46
B62K,H04L,46
B21K,C22B,46
B41K,B42C,46
B28B,F41J,46
A63G,E04G,46
A43B,C07J,46
B62J,C07J,46
A63C,B23K,46
B26B,G04B,46
B04C,F01P,46
F16P,F24F,46
A24C,C01B,46
B60S,B64U,46
B23P,B61C,46
A41G,B25J,46
B27M,C12G,46
B25D,G09F,46
A63H,F25C,46
B07B,C23F,46
F03G,H01G,46
A44B,G01C,46
B42D,H03M,46
A01F,D06F,46
B25H,F16K,46
F16P,F27D,46
A61F,B42F,46
B41N,D06C,46
D06C,G03G,46
E21D,H02S,46
F23M,H05K,46
A61P,F25B,46
A61K,G10H,46
B65H,C11D,46
B25F,F03D,46
B62K,D01F,46
C40B,G01B,46
F17D,H04M,46
B06F,G06F,46
A23K,H01H,46
A23L,F41C,46
B03D,B28D,46
E04F,H02M,46
G16Z,H01J,46
A41D,F23D,46
F24H,H01T,46
B07C,G06G,46
B23K,C10K,46
F28C,G01M,46
C08K,F16M,46
B62B,C01B,46
H02S,H04H,46
F21V,G10C,46
B08B,F23H,46
C12P,H02P,46
C10L,G10L,46
B25H,F42B,46
G01P,H01V,46
A47C,A61J,46
B27B,F03C,46
A63B,B68C,46
A61P,H04H,46
B09B,C25F,45
A47F,C02F,45
A22C,D01D,45
B25J,C08G,45
C07C,F21Y,45
B60W,F02F,45
B44C,D05B,45
A42C,F16F,45
B60H,C08G,45
B25H,H04M,45
B21G,C25D,45
B81B,C01G,45
A62C,B61K,45
A61H,C11B,45
E03F,G06K,45
B09B,B27M,45
B22C,E06B,45
D04H,F21V,45
C21C,H02P,45
B21C,E01B,45
B61L,G01W,45
A23L,E04F,45
F15B,H01P,45
B67C,G01V,45
B29L,H01S,45
A01P,F28F,45
A01C,H04M,45
A41B,G01L,45
A01P,E21B,45
A61Q,A62B,45
